Source;Target;Weight;Label;Type
SCHRODERS;MX;1;1;undirected
SEVERN TRENT;MX;1;1;undirected
SHIRE;MX;1;1;undirected
SMITH & NEPHEW;MX;1;1;undirected
SMITHS GROUP;MX;4;4;undirected
TATE & LYLE;MX;5;5;undirected
THE ROYAL BANK OF SCOTLAND GROUP;MX;2;2;undirected
THE WEIR GROUP;MX;3;3;undirected
UNILEVER;MX;4;4;undirected
VODAFONE GROUP;MX;1;1;undirected
WOLSELEY;MX;4;4;undirected
WPP;MX;37;37;undirected
AGGREKO;MX;3;3;undirected
AMEC ;MX;5;5;undirected
ANGLO AMERICAN;MX;4;4;undirected
ASSOCIATED BRITISH FOODS ;MX;4;4;undirected
ASTRAZENECA;MX;2;2;undirected
BAE SYSTEMS;CH;2;2;undirected
BARCLAYS;CH;3;3;undirected
BHP BILLITON;CH;2;2;undirected
BRITISH AMERICAN TOBACCO;CH;14;14;undirected
BT GROUP;CH;6;6;undirected
BUNZL;CH;6;6;undirected
CAPITA GROUP;CH;1;1;undirected
CARNIVAL;CH;2;2;undirected
COMPASS GROUP;CH;5;5;undirected
CRH;CH;6;6;undirected
DIAGEO;CH;1;1;undirected
EURASIAN NATURAL RESOURCES CORPORATION;CH;3;3;undirected
EVRAZ PLC;CH;1;1;undirected
GLAXOSMITHKLINE;CH;4;4;undirected
GLENCORE INTERNATIONAL;CH;4;4;undirected
HSBC;CH;13;13;undirected
ICAP;CH;2;2;undirected
IMI;CH;9;9;undirected
IMPERIAL TOBACCO GROUP ;CH;4;4;undirected
INTERTEK  GROUP;CH;3;3;undirected
JOHNSON MATTHEY;CH;1;1;undirected
LLOYDS BANKING GROUP;CH;2;2;undirected
MARKS AND SPENCER GROUP;CH;2;2;undirected
MEGGITT;CH;2;2;undirected
OLD MUTUAL;CH;3;3;undirected
PEARSON;CH;1;1;undirected
RECKITT BENCKISER GROUP;CH;4;4;undirected
RIO TINTO;CH;5;5;undirected
ROLLS-ROYCE GROUP;CH;2;2;undirected
ROYAL DUTCH SHELL;CH;20;20;undirected
SABMILLER;CH;7;7;undirected
SCHRODERS;CH;4;4;undirected
SERCO GROUP;CH;1;1;undirected
SHIRE;CH;1;1;undirected
SMITH & NEPHEW;CH;5;5;undirected
SMITHS GROUP;CH;4;4;undirected
STANDARD CHARTERED;CH;1;1;undirected
TESCO;CH;2;2;undirected
THE ROYAL BANK OF SCOTLAND GROUP;CH;4;4;undirected
THE SAGE GROUP;CH;3;3;undirected
THE WEIR GROUP;CH;1;1;undirected
UNILEVER;CH;15;15;undirected
VODAFONE GROUP;CH;2;2;undirected
WOLSELEY;CH;4;4;undirected
WPP;CH;24;24;undirected
XSTRATA;CH;6;6;undirected
ANGLO AMERICAN;CH;2;2;undirected
ASSOCIATED BRITISH FOODS ;CH;1;1;undirected
ASTRAZENECA;CH;1;1;undirected
AVIVA;MY;2;2;undirected
BABCOCK INTERNATIONAL GROUP ;MY;1;1;undirected
BAE SYSTEMS;MY;7;7;undirected
BARCLAYS;MY;1;1;undirected
BHP BILLITON;MY;1;1;undirected
BP;MY;10;10;undirected
BRITISH AMERICAN TOBACCO;MY;11;11;undirected
BT GROUP;MY;10;10;undirected
BURBERRY GROUP;MY;1;1;undirected
CAPITA GROUP;MY;2;2;undirected
COMPASS GROUP;MY;4;4;undirected
DIAGEO;MY;7;7;undirected
G4S;MY;15;15;undirected
GKN;MY;1;1;undirected
GLAXOSMITHKLINE;MY;5;5;undirected
HSBC;MY;12;12;undirected
ICAP;MY;2;2;undirected
IMI;MY;1;1;undirected
IMPERIAL TOBACCO GROUP ;MY;2;2;undirected
INTERCONTINENTAL HOTELS GROUP;MY;1;1;undirected
INTERTEK  GROUP;MY;6;6;undirected
JOHNSON MATTHEY;MY;2;2;undirected
PEARSON;MY;1;1;undirected
PETROFAC INC.;MY;8;8;undirected
PRUDENTIAL;MY;8;8;undirected
RECKITT BENCKISER GROUP;MY;5;5;undirected
REED ELSEVIER GROUP;MY;4;4;undirected
RIO TINTO;MY;2;2;undirected
ROLLS-ROYCE GROUP;MY;4;4;undirected
ROYAL DUTCH SHELL;MY;27;27;undirected
SERCO GROUP;MY;1;1;undirected
SMITH & NEPHEW;MY;2;2;undirected
SMITHS GROUP;MY;1;1;undirected
STANDARD CHARTERED;MY;15;15;undirected
TESCO;MY;2;2;undirected
THE ROYAL BANK OF SCOTLAND GROUP;MY;5;5;undirected
THE SAGE GROUP;MY;2;2;undirected
THE WEIR GROUP;MY;3;3;undirected
UNILEVER;MY;5;5;undirected
VODAFONE GROUP;MY;1;1;undirected
XSTRATA;MY;1;1;undirected
AGGREKO;MY;1;1;undirected
AMEC ;MY;9;9;undirected
ASSOCIATED BRITISH FOODS ;MY;1;1;undirected
ASTRAZENECA;MY;2;2;undirected
BARCLAYS;VG;1;1;undirected
BG GROUP;VG;6;6;undirected
BHP BILLITON;VG;11;11;undirected
BP;VG;11;11;undirected
BRITISH AMERICAN TOBACCO;VG;1;1;undirected
BRITISH SKY BROADCASTING GROUP;VG;1;1;undirected
BT GROUP;VG;3;3;undirected
COMPASS GROUP;VG;1;1;undirected
DIAGEO;VG;1;1;undirected
EURASIAN NATURAL RESOURCES CORPORATION;VG;22;22;undirected
G4S;VG;7;7;undirected
GLAXOSMITHKLINE;VG;1;1;undirected
GLENCORE INTERNATIONAL;VG;1;1;undirected
HSBC;VG;29;29;undirected
ICAP;VG;2;2;undirected
IMPERIAL TOBACCO GROUP ;VG;2;2;undirected
INTERCONTINENTAL HOTELS GROUP;VG;5;5;undirected
INTERTEK  GROUP;VG;1;1;undirected
LLOYDS BANKING GROUP;VG;5;5;undirected
PEARSON;VG;1;1;undirected
PENNON;VG;1;1;undirected
PETROFAC INC.;VG;1;1;undirected
PRUDENTIAL;VG;6;6;undirected
RECKITT BENCKISER GROUP;VG;5;5;undirected
REED ELSEVIER GROUP;VG;1;1;undirected
RIO TINTO;VG;6;6;undirected
SABMILLER;VG;8;8;undirected
SHIRE;VG;1;1;undirected
STANDARD CHARTERED;VG;1;1;undirected
TATE & LYLE;VG;1;1;undirected
TESCO;VG;9;9;undirected
THE BRITISH LAND COMPANY;VG;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;VG;9;9;undirected
THE WEIR GROUP;VG;1;1;undirected
TULLOW OIL;VG;1;1;undirected
WHITBREAD;VG;6;6;undirected
WPP;VG;2;2;undirected
XSTRATA;VG;2;2;undirected
ANGLO AMERICAN;VG;24;24;undirected
ANTOFAGASTA;VG;4;4;undirected
ASSOCIATED BRITISH FOODS ;VG;1;1;undirected
AVIVA;GG;2;2;undirected
BABCOCK INTERNATIONAL GROUP ;GG;3;3;undirected
BARCLAYS;GG;13;13;undirected
BHP BILLITON;GG;2;2;undirected
BP;GG;3;3;undirected
BRITISH AMERICAN TOBACCO;GG;1;1;undirected
BRITISH SKY BROADCASTING GROUP;GG;2;2;undirected
CAPITA GROUP;GG;9;9;undirected
COMPASS GROUP;GG;1;1;undirected
CRODA INTERNATIONAL;GG;1;1;undirected
DIAGEO;GG;2;2;undirected
EURASIAN NATURAL RESOURCES CORPORATION;GG;2;2;undirected
G4S;GG;1;1;undirected
GLAXOSMITHKLINE;GG;1;1;undirected
HSBC;GG;22;22;undirected
IMPERIAL TOBACCO GROUP ;GG;2;2;undirected
INTERTEK  GROUP;GG;1;1;undirected
ITV;GG;1;1;undirected
J SAINSBURY;GG;1;1;undirected
KINGFISHER;GG;1;1;undirected
LAND SECURITIES GROUP;GG;1;1;undirected
LLOYDS BANKING GROUP;GG;21;21;undirected
MARKS AND SPENCER GROUP;GG;4;4;undirected
NEXT;GG;1;1;undirected
OLD MUTUAL;GG;11;11;undirected
PENNON;GG;2;2;undirected
PETROFAC INC.;GG;1;1;undirected
PRUDENTIAL;GG;5;5;undirected
RECKITT BENCKISER GROUP;GG;4;4;undirected
RESOLUTION;GG;3;3;undirected
REXAM;GG;2;2;undirected
ROLLS-ROYCE GROUP;GG;1;1;undirected
RSA INSURANCE GROUP;GG;2;2;undirected
SABMILLER;GG;2;2;undirected
SCHRODERS;GG;12;12;undirected
SERCO GROUP;GG;1;1;undirected
SMITHS GROUP;GG;1;1;undirected
STANDARD CHARTERED;GG;6;6;undirected
STANDARD LIFE;GG;3;3;undirected
TESCO;GG;2;2;undirected
THE BRITISH LAND COMPANY;GG;2;2;undirected
THE ROYAL BANK OF SCOTLAND GROUP;GG;15;15;undirected
TULLOW OIL;GG;3;3;undirected
VODAFONE GROUP;GG;3;3;undirected
WM MORRISON SUPERMARKETS;GG;1;1;undirected
WOLSELEY;GG;7;7;undirected
WPP;GG;3;3;undirected
XSTRATA;GG;1;1;undirected
ASHMORE GROUP PLC;GG;11;11;undirected
ASSOCIATED BRITISH FOODS ;GG;1;1;undirected
BARCLAYS;BE;1;1;undirected
BHP BILLITON;BE;1;1;undirected
BP;BE;10;10;undirected
BRITISH AMERICAN TOBACCO;BE;4;4;undirected
BRITISH SKY BROADCASTING GROUP;BE;1;1;undirected
BT GROUP;BE;8;8;undirected
BUNZL;BE;4;4;undirected
CAPITA GROUP;BE;1;1;undirected
COMPASS GROUP;BE;4;4;undirected
CRH;BE;14;14;undirected
CRODA INTERNATIONAL;BE;2;2;undirected
DIAGEO;BE;1;1;undirected
G4S;BE;15;15;undirected
GKN;BE;2;2;undirected
GLAXOSMITHKLINE;BE;7;7;undirected
GLENCORE INTERNATIONAL;BE;1;1;undirected
HSBC;BE;2;2;undirected
IMI;BE;6;6;undirected
IMPERIAL TOBACCO GROUP ;BE;2;2;undirected
INTERCONTINENTAL HOTELS GROUP;BE;1;1;undirected
INTERTEK  GROUP;BE;3;3;undirected
JOHNSON MATTHEY;BE;2;2;undirected
KINGFISHER;BE;1;1;undirected
MARKS AND SPENCER GROUP;BE;1;1;undirected
NATIONAL GRID;BE;1;1;undirected
PEARSON;BE;1;1;undirected
RECKITT BENCKISER GROUP;BE;2;2;undirected
REED ELSEVIER GROUP;BE;1;1;undirected
RIO TINTO;BE;1;1;undirected
ROYAL DUTCH SHELL;BE;11;11;undirected
SERCO GROUP;BE;1;1;undirected
SEVERN TRENT;BE;1;1;undirected
SHIRE;BE;2;2;undirected
SMITH & NEPHEW;BE;1;1;undirected
SMITHS GROUP;BE;2;2;undirected
STANDARD LIFE;BE;2;2;undirected
TATE & LYLE;BE;2;2;undirected
THE SAGE GROUP;BE;1;1;undirected
THE WEIR GROUP;BE;1;1;undirected
UNILEVER;BE;3;3;undirected
VODAFONE GROUP;BE;3;3;undirected
WPP;BE;29;29;undirected
XSTRATA;BE;3;3;undirected
AGGREKO;BE;1;1;undirected
AMEC ;BE;1;1;undirected
ARM HOLDINGS;BE;1;1;undirected
ASSOCIATED BRITISH FOODS ;BE;3;3;undirected
ASTRAZENECA;BE;1;1;undirected
AVIVA;BM;4;4;undirected
BARCLAYS;BM;1;1;undirected
BHP BILLITON;BM;3;3;undirected
BP;BM;7;7;undirected
BT GROUP;BM;2;2;undirected
CARNIVAL;BM;3;3;undirected
DIAGEO;BM;1;1;undirected
GLAXOSMITHKLINE;BM;3;3;undirected
GLENCORE INTERNATIONAL;BM;3;3;undirected
HSBC;BM;25;25;undirected
IMI;BM;1;1;undirected
IMPERIAL TOBACCO GROUP ;BM;1;1;undirected
INTERCONTINENTAL HOTELS GROUP;BM;3;3;undirected
INTERNATIONAL AIRLINES GROUP;BM;3;3;undirected
INTERTEK  GROUP;BM;1;1;undirected
JOHNSON MATTHEY;BM;1;1;undirected
LEGAL & GENERAL GROUP;BM;2;2;undirected
OLD MUTUAL;BM;7;7;undirected
PEARSON;BM;1;1;undirected
PRUDENTIAL;BM;1;1;undirected
RECKITT BENCKISER GROUP;BM;1;1;undirected
RIO TINTO;BM;6;6;undirected
ROYAL DUTCH SHELL;BM;38;38;undirected
SCHRODERS;BM;9;9;undirected
SERCO GROUP;BM;1;1;undirected
SHIRE;BM;1;1;undirected
STANDARD CHARTERED;BM;1;1;undirected
STANDARD LIFE;BM;1;1;undirected
TATE & LYLE;BM;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;BM;3;3;undirected
UNILEVER;BM;4;4;undirected
WHITBREAD;BM;1;1;undirected
WPP;BM;1;1;undirected
XSTRATA;BM;16;16;undirected
AMEC ;BM;2;2;undirected
ANGLO AMERICAN;BM;3;3;undirected
ANTOFAGASTA;BM;1;1;undirected
AVIVA;RU;5;5;undirected
BARCLAYS;RU;1;1;undirected
BG GROUP;RU;1;1;undirected
BHP BILLITON;RU;2;2;undirected
BP;RU;4;4;undirected
BRITISH AMERICAN TOBACCO;RU;5;5;undirected
BT GROUP;RU;2;2;undirected
COMPASS GROUP;RU;2;2;undirected
DIAGEO;RU;6;6;undirected
EURASIAN NATURAL RESOURCES CORPORATION;RU;7;7;undirected
EVRAZ PLC;RU;13;13;undirected
G4S;RU;17;17;undirected
GLAXOSMITHKLINE;RU;3;3;undirected
GLENCORE INTERNATIONAL;RU;1;1;undirected
HSBC;RU;2;2;undirected
IMI;RU;1;1;undirected
IMPERIAL TOBACCO GROUP ;RU;4;4;undirected
INTERCONTINENTAL HOTELS GROUP;RU;2;2;undirected
INTERTEK  GROUP;RU;3;3;undirected
JOHNSON MATTHEY;RU;1;1;undirected
KINGFISHER;RU;2;2;undirected
PEARSON;RU;1;1;undirected
PETROFAC INC.;RU;3;3;undirected
POLYMETAL INTERNATIONAL;RU;9;9;undirected
RECKITT BENCKISER GROUP;RU;3;3;undirected
REED ELSEVIER GROUP;RU;3;3;undirected
REXAM;RU;3;3;undirected
RIO TINTO;RU;3;3;undirected
ROLLS-ROYCE GROUP;RU;1;1;undirected
ROYAL DUTCH SHELL;RU;13;13;undirected
RSA INSURANCE GROUP;RU;2;2;undirected
SABMILLER;RU;1;1;undirected
SMITHS GROUP;RU;3;3;undirected
TATE & LYLE;RU;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;RU;2;2;undirected
THE WEIR GROUP;RU;2;2;undirected
UNILEVER;RU;4;4;undirected
VODAFONE GROUP;RU;2;2;undirected
WPP;RU;14;14;undirected
AGGREKO;RU;1;1;undirected
AMEC ;RU;2;2;undirected
ANGLO AMERICAN;RU;2;2;undirected
ASHMORE GROUP PLC;RU;1;1;undirected
ASTRAZENECA;RU;2;2;undirected
AVIVA;PL;8;8;undirected
BAE SYSTEMS;PL;1;1;undirected
BP;PL;3;3;undirected
BRITISH AMERICAN TOBACCO;PL;2;2;undirected
BT GROUP;PL;1;1;undirected
BUNZL;PL;1;1;undirected
CAPITA GROUP;PL;2;2;undirected
COMPASS GROUP;PL;1;1;undirected
CRH;PL;12;12;undirected
CRODA INTERNATIONAL;PL;1;1;undirected
DIAGEO;PL;1;1;undirected
G4S;PL;7;7;undirected
GKN;PL;2;2;undirected
GLAXOSMITHKLINE;PL;5;5;undirected
GLENCORE INTERNATIONAL;PL;1;1;undirected
HSBC;PL;3;3;undirected
ICAP;PL;1;1;undirected
IMI;PL;1;1;undirected
IMPERIAL TOBACCO GROUP ;PL;4;4;undirected
INTERCONTINENTAL HOTELS GROUP;PL;1;1;undirected
INTERTEK  GROUP;PL;1;1;undirected
KINGFISHER;PL;4;4;undirected
MARKS AND SPENCER GROUP;PL;1;1;undirected
OLD MUTUAL;PL;3;3;undirected
PEARSON;PL;1;1;undirected
RECKITT BENCKISER GROUP;PL;2;2;undirected
REED ELSEVIER GROUP;PL;2;2;undirected
REXAM;PL;1;1;undirected
ROLLS-ROYCE GROUP;PL;1;1;undirected
ROYAL DUTCH SHELL;PL;3;3;undirected
RSA INSURANCE GROUP;PL;4;4;undirected
SABMILLER;PL;7;7;undirected
SERCO GROUP;PL;3;3;undirected
SHIRE;PL;1;1;undirected
SMITHS GROUP;PL;1;1;undirected
TATE & LYLE;PL;4;4;undirected
TESCO;PL;11;11;undirected
THE ROYAL BANK OF SCOTLAND GROUP;PL;5;5;undirected
THE SAGE GROUP;PL;1;1;undirected
THE WEIR GROUP;PL;2;2;undirected
UNILEVER;PL;3;3;undirected
VODAFONE GROUP;PL;1;1;undirected
WHITBREAD;PL;1;1;undirected
WPP;PL;34;34;undirected
AGGREKO;PL;1;1;undirected
ASSOCIATED BRITISH FOODS ;PL;4;4;undirected
ASTRAZENECA;PL;2;2;undirected
BG GROUP;CL;2;2;undirected
BHP BILLITON;CL;5;5;undirected
BP;CL;6;6;undirected
BRITISH AMERICAN TOBACCO;CL;5;5;undirected
BT GROUP;CL;1;1;undirected
COMPASS GROUP;CL;3;3;undirected
CRH;CL;2;2;undirected
CRODA INTERNATIONAL;CL;1;1;undirected
DIAGEO;CL;1;1;undirected
G4S;CL;10;10;undirected
GLAXOSMITHKLINE;CL;3;3;undirected
GLENCORE INTERNATIONAL;CL;1;1;undirected
HSBC;CL;2;2;undirected
ICAP;CL;2;2;undirected
INTERTEK  GROUP;CL;2;2;undirected
NATIONAL GRID;CL;2;2;undirected
PEARSON;CL;1;1;undirected
RECKITT BENCKISER GROUP;CL;1;1;undirected
REED ELSEVIER GROUP;CL;1;1;undirected
REXAM;CL;1;1;undirected
RIO TINTO;CL;2;2;undirected
ROLLS-ROYCE GROUP;CL;1;1;undirected
RSA INSURANCE GROUP;CL;2;2;undirected
SABMILLER;CL;1;1;undirected
SCHRODERS;CL;1;1;undirected
SMITHS GROUP;CL;1;1;undirected
TATE & LYLE;CL;1;1;undirected
TESCO;CL;1;1;undirected
THE WEIR GROUP;CL;11;11;undirected
UNILEVER;CL;2;2;undirected
WPP;CL;22;22;undirected
XSTRATA;CL;10;10;undirected
AGGREKO;CL;1;1;undirected
AMEC ;CL;10;10;undirected
ANGLO AMERICAN;CL;10;10;undirected
ANTOFAGASTA;CL;31;31;undirected
ASSOCIATED BRITISH FOODS ;CL;2;2;undirected
ASTRAZENECA;CL;1;1;undirected
AVIVA;MU;1;1;undirected
BARCLAYS;MU;5;5;undirected
BG GROUP;MU;2;2;undirected
BP;MU;1;1;undirected
BT GROUP;MU;2;2;undirected
CAPITAL SHOPPING CENTRES GROUP;MU;1;1;undirected
COMPASS GROUP;MU;2;2;undirected
DIAGEO;MU;2;2;undirected
EURASIAN NATURAL RESOURCES CORPORATION;MU;3;3;undirected
G4S;MU;8;8;undirected
GLAXOSMITHKLINE;MU;2;2;undirected
HSBC;MU;8;8;undirected
INTERCONTINENTAL HOTELS GROUP;MU;1;1;undirected
INTERTEK  GROUP;MU;1;1;undirected
OLD MUTUAL;MU;5;5;undirected
PRUDENTIAL;MU;10;10;undirected
RIO TINTO;MU;8;8;undirected
ROYAL DUTCH SHELL;MU;4;4;undirected
SABMILLER;MU;11;11;undirected
SERCO GROUP;MU;5;5;undirected
STANDARD CHARTERED;MU;8;8;undirected
STANDARD LIFE;MU;4;4;undirected
TESCO;MU;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;MU;1;1;undirected
VEDANTA RESOURCES;MU;10;10;undirected
VODAFONE GROUP;MU;22;22;undirected
WPP;MU;4;4;undirected
XSTRATA;MU;1;1;undirected
AGGREKO;MU;1;1;undirected
ANGLO AMERICAN;MU;4;4;undirected
ASHMORE GROUP PLC;MU;4;4;undirected
ASSOCIATED BRITISH FOODS ;MU;6;6;undirected
BABCOCK INTERNATIONAL GROUP ;JP;1;1;undirected
BARCLAYS;JP;3;3;undirected
BHP BILLITON;JP;2;2;undirected
BP;JP;5;5;undirected
BT GROUP;JP;5;5;undirected
BURBERRY GROUP;JP;2;2;undirected
COMPASS GROUP;JP;10;10;undirected
CRODA INTERNATIONAL;JP;1;1;undirected
DIAGEO;JP;3;3;undirected
G4S;JP;3;3;undirected
GKN;JP;4;4;undirected
GLAXOSMITHKLINE;JP;4;4;undirected
HSBC;JP;1;1;undirected
ICAP;JP;5;5;undirected
IMI;JP;1;1;undirected
INTERCONTINENTAL HOTELS GROUP;JP;7;7;undirected
INTERTEK  GROUP;JP;4;4;undirected
JOHNSON MATTHEY;JP;2;2;undirected
OLD MUTUAL;JP;2;2;undirected
PEARSON;JP;3;3;undirected
PRUDENTIAL;JP;11;11;undirected
RECKITT BENCKISER GROUP;JP;3;3;undirected
REED ELSEVIER GROUP;JP;6;6;undirected
RIO TINTO;JP;2;2;undirected
ROLLS-ROYCE GROUP;JP;1;1;undirected
ROYAL DUTCH SHELL;JP;8;8;undirected
SCHRODERS;JP;1;1;undirected
SMITH & NEPHEW;JP;3;3;undirected
SMITHS GROUP;JP;3;3;undirected
TESCO;JP;2;2;undirected
THE WEIR GROUP;JP;1;1;undirected
UNILEVER;JP;3;3;undirected
VODAFONE GROUP;JP;1;1;undirected
WPP;JP;26;26;undirected
AGGREKO;JP;1;1;undirected
ANGLO AMERICAN;JP;1;1;undirected
ARM HOLDINGS;JP;1;1;undirected
ASHMORE GROUP PLC;JP;1;1;undirected
ASSOCIATED BRITISH FOODS ;JP;2;2;undirected
ASTRAZENECA;JP;1;1;undirected
BAE SYSTEMS;IM;2;2;undirected
BARCLAYS;IM;28;28;undirected
BP;IM;1;1;undirected
BRITISH AMERICAN TOBACCO;IM;4;4;undirected
BT GROUP;IM;9;9;undirected
CAPITA GROUP;IM;3;3;undirected
CAPITAL SHOPPING CENTRES GROUP;IM;1;1;undirected
CENTRICA;IM;4;4;undirected
COMPASS GROUP;IM;2;2;undirected
EURASIAN NATURAL RESOURCES CORPORATION;IM;1;1;undirected
G4S;IM;1;1;undirected
GKN;IM;1;1;undirected
HAMMERSON;IM;1;1;undirected
HSBC;IM;7;7;undirected
IMPERIAL TOBACCO GROUP ;IM;1;1;undirected
INTERNATIONAL AIRLINES GROUP;IM;1;1;undirected
J SAINSBURY;IM;1;1;undirected
LAND SECURITIES GROUP;IM;1;1;undirected
LLOYDS BANKING GROUP;IM;10;10;undirected
MARKS AND SPENCER GROUP;IM;1;1;undirected
NATIONAL GRID;IM;3;3;undirected
OLD MUTUAL;IM;17;17;undirected
RESOLUTION;IM;1;1;undirected
ROYAL DUTCH SHELL;IM;4;4;undirected
RSA INSURANCE GROUP;IM;5;5;undirected
SABMILLER;IM;2;2;undirected
SSE;IM;1;1;undirected
STANDARD CHARTERED;IM;2;2;undirected
STANDARD LIFE;IM;2;2;undirected
THE BRITISH LAND COMPANY;IM;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;IM;6;6;undirected
TULLOW OIL;IM;9;9;undirected
UNITED UTILITIES GROUP;IM;1;1;undirected
WM MORRISON SUPERMARKETS;IM;1;1;undirected
WOLSELEY;IM;1;1;undirected
XSTRATA;IM;3;3;undirected
ANGLO AMERICAN;IM;6;6;undirected
BARCLAYS;TH;1;1;undirected
BG GROUP;TH;1;1;undirected
BP;TH;7;7;undirected
BRITISH AMERICAN TOBACCO;TH;1;1;undirected
BT GROUP;TH;5;5;undirected
COMPASS GROUP;TH;4;4;undirected
CRODA INTERNATIONAL;TH;1;1;undirected
DIAGEO;TH;1;1;undirected
G4S;TH;10;10;undirected
GKN;TH;3;3;undirected
GLAXOSMITHKLINE;TH;5;5;undirected
ICAP;TH;3;3;undirected
IMI;TH;1;1;undirected
IMPERIAL TOBACCO GROUP ;TH;1;1;undirected
INTERCONTINENTAL HOTELS GROUP;TH;3;3;undirected
INTERTEK  GROUP;TH;2;2;undirected
JOHNSON MATTHEY;TH;2;2;undirected
MARKS AND SPENCER GROUP;TH;1;1;undirected
PEARSON;TH;1;1;undirected
PRUDENTIAL;TH;3;3;undirected
RECKITT BENCKISER GROUP;TH;6;6;undirected
REED ELSEVIER GROUP;TH;2;2;undirected
RIO TINTO;TH;3;3;undirected
ROLLS-ROYCE GROUP;TH;2;2;undirected
ROYAL DUTCH SHELL;TH;11;11;undirected
RSA INSURANCE GROUP;TH;1;1;undirected
SMITH & NEPHEW;TH;1;1;undirected
SMITHS GROUP;TH;2;2;undirected
STANDARD CHARTERED;TH;4;4;undirected
TESCO;TH;7;7;undirected
UNILEVER;TH;3;3;undirected
UNITED UTILITIES GROUP;TH;2;2;undirected
WPP;TH;26;26;undirected
AGGREKO;TH;1;1;undirected
AMEC ;TH;4;4;undirected
ASSOCIATED BRITISH FOODS ;TH;5;5;undirected
ASTRAZENECA;TH;1;1;undirected
BHP BILLITON;DK;2;2;undirected
BP;DK;5;5;undirected
BRITISH AMERICAN TOBACCO;DK;3;3;undirected
BRITISH SKY BROADCASTING GROUP;DK;1;1;undirected
BT GROUP;DK;2;2;undirected
BUNZL;DK;5;5;undirected
COMPASS GROUP;DK;3;3;undirected
CRH;DK;1;1;undirected
DIAGEO;DK;1;1;undirected
EXPERIAN;DK;1;1;undirected
G4S;DK;10;10;undirected
GKN;DK;3;3;undirected
GLAXOSMITHKLINE;DK;2;2;undirected
ICAP;DK;2;2;undirected
IMI;DK;2;2;undirected
IMPERIAL TOBACCO GROUP ;DK;1;1;undirected
INTERTEK  GROUP;DK;1;1;undirected
JOHNSON MATTHEY;DK;1;1;undirected
KINGFISHER;DK;1;1;undirected
MEGGITT;DK;1;1;undirected
RECKITT BENCKISER GROUP;DK;2;2;undirected
REXAM;DK;2;2;undirected
ROLLS-ROYCE GROUP;DK;2;2;undirected
ROYAL DUTCH SHELL;DK;10;10;undirected
RSA INSURANCE GROUP;DK;7;7;undirected
SCHRODERS;DK;1;1;undirected
SHIRE;DK;1;1;undirected
SMITH & NEPHEW;DK;1;1;undirected
SMITHS GROUP;DK;1;1;undirected
THE ROYAL BANK OF SCOTLAND GROUP;DK;1;1;undirected
UNILEVER;DK;2;2;undirected
VODAFONE GROUP;DK;2;2;undirected
WOLSELEY;DK;12;12;undirected
WPP;DK;37;37;undirected
ASTRAZENECA;DK;1;1;undirected
BARCLAYS;PT;2;2;undirected
BP;PT;9;9;undirected
BRITISH AMERICAN TOBACCO;PT;2;2;undirected
BT GROUP;PT;2;2;undirected
CARNIVAL;PT;2;2;undirected
COMPASS GROUP;PT;1;1;undirected
CRH;PT;2;2;undirected
DIAGEO;PT;1;1;undirected
GLAXOSMITHKLINE;PT;10;10;undirected
IMPERIAL TOBACCO GROUP ;PT;9;9;undirected
INTERCONTINENTAL HOTELS GROUP;PT;1;1;undirected
INTERTEK  GROUP;PT;2;2;undirected
LLOYDS BANKING GROUP;PT;1;1;undirected
MARKS AND SPENCER GROUP;PT;1;1;undirected
PEARSON;PT;1;1;undirected
RECKITT BENCKISER GROUP;PT;2;2;undirected
ROYAL DUTCH SHELL;PT;1;1;undirected
SHIRE;PT;1;1;undirected
SMITH & NEPHEW;PT;1;1;undirected
SMITHS GROUP;PT;1;1;undirected
SSE;PT;19;19;undirected
THE BRITISH LAND COMPANY;PT;7;7;undirected
THE SAGE GROUP;PT;1;1;undirected
THE WEIR GROUP;PT;1;1;undirected
UNILEVER;PT;7;7;undirected
VODAFONE GROUP;PT;2;2;undirected
WPP;PT;28;28;undirected
ANGLO AMERICAN;PT;1;1;undirected
ASSOCIATED BRITISH FOODS ;PT;4;4;undirected
ASTRAZENECA;PT;7;7;undirected
BARCLAYS;ZW;8;8;undirected
BP;ZW;2;2;undirected
BRITISH AMERICAN TOBACCO;ZW;16;16;undirected
BT GROUP;ZW;1;1;undirected
CRODA INTERNATIONAL;ZW;1;1;undirected
DIAGEO;ZW;1;1;undirected
EURASIAN NATURAL RESOURCES CORPORATION;ZW;15;15;undirected
GLAXOSMITHKLINE;ZW;1;1;undirected
OLD MUTUAL;ZW;33;33;undirected
PEARSON;ZW;1;1;undirected
RECKITT BENCKISER GROUP;ZW;1;1;undirected
RIO TINTO;ZW;6;6;undirected
ROYAL DUTCH SHELL;ZW;7;7;undirected
SABMILLER;ZW;1;1;undirected
STANDARD CHARTERED;ZW;3;3;undirected
THE WEIR GROUP;ZW;1;1;undirected
UNILEVER;ZW;4;4;undirected
ANGLO AMERICAN;ZW;26;26;undirected
BARCLAYS;AR;2;2;undirected
BG GROUP;AR;6;6;undirected
