Source;Target;Weight;Label;Type
GLENCORE INTERNATIONAL;US;1;1;undirected
HSBC;US;88;88;undirected
ICAP;US;4;4;undirected
IMI;US;8;8;undirected
IMPERIAL TOBACCO GROUP ;US;23;23;undirected
INTERCONTINENTAL HOTELS GROUP;US;30;30;undirected
INTERNATIONAL AIRLINES GROUP;US;1;1;undirected
INTERTEK  GROUP;US;11;11;undirected
ITV;US;5;5;undirected
JOHNSON MATTHEY;US;6;6;undirected
KAZAKHMYS;US;1;1;undirected
LEGAL & GENERAL GROUP;US;5;5;undirected
LLOYDS BANKING GROUP;US;3;3;undirected
MEGGITT;US;20;20;undirected
NATIONAL GRID;US;52;52;undirected
NEXT;US;1;1;undirected
OLD MUTUAL;US;23;23;undirected
PEARSON;US;74;74;undirected
PETROFAC INC.;US;2;2;undirected
PRUDENTIAL;US;64;64;undirected
RECKITT BENCKISER GROUP;US;2;2;undirected
REED ELSEVIER GROUP;US;41;41;undirected
REXAM;US;4;4;undirected
RIO TINTO;US;26;26;undirected
ROLLS-ROYCE GROUP;US;9;9;undirected
ROYAL DUTCH SHELL;US;15;15;undirected
SABMILLER;US;2;2;undirected
SCHRODERS;US;1;1;undirected
SERCO GROUP;US;5;5;undirected
SEVERN TRENT;US;4;4;undirected
SHIRE;US;7;7;undirected
SMITH & NEPHEW;US;4;4;undirected
SMITHS GROUP;US;8;8;undirected
STANDARD CHARTERED;US;4;4;undirected
TATE & LYLE;US;6;6;undirected
THE ROYAL BANK OF SCOTLAND GROUP;US;49;49;undirected
THE SAGE GROUP;US;2;2;undirected
THE WEIR GROUP;US;15;15;undirected
TULLOW OIL;US;1;1;undirected
UNILEVER;US;7;7;undirected
VODAFONE GROUP;US;1;1;undirected
WOLSELEY;US;25;25;undirected
WPP;US;65;65;undirected
XSTRATA;US;2;2;undirected
ADMIRAL GROUP;US;1;1;undirected
AMEC ;US;36;36;undirected
ANGLO AMERICAN;US;2;2;undirected
ARM HOLDINGS;US;3;3;undirected
ASHMORE GROUP PLC;US;1;1;undirected
ASSOCIATED BRITISH FOODS ;US;5;5;undirected
ASTRAZENECA;US;18;18;undirected
AVIVA;AU;2;2;undirected
BABCOCK INTERNATIONAL GROUP ;AU;4;4;undirected
BAE SYSTEMS;AU;23;23;undirected
BARCLAYS;AU;2;2;undirected
BG GROUP;AU;63;63;undirected
BHP BILLITON;AU;127;127;undirected
BP;AU;48;48;undirected
BRITISH AMERICAN TOBACCO;AU;17;17;undirected
BRITISH SKY BROADCASTING GROUP;AU;1;1;undirected
BT GROUP;AU;4;4;undirected
BUNZL;AU;7;7;undirected
BURBERRY GROUP;AU;1;1;undirected
CAPITA GROUP;AU;1;1;undirected
CARNIVAL;AU;1;1;undirected
COMPASS GROUP;AU;31;31;undirected
CRODA INTERNATIONAL;AU;3;3;undirected
DIAGEO;AU;5;5;undirected
EXPERIAN;AU;1;1;undirected
G4S;AU;10;10;undirected
GKN;AU;1;1;undirected
GLAXOSMITHKLINE;AU;18;18;undirected
GLENCORE INTERNATIONAL;AU;2;2;undirected
HSBC;AU;6;6;undirected
ICAP;AU;5;5;undirected
IMI;AU;4;4;undirected
IMPERIAL TOBACCO GROUP ;AU;2;2;undirected
INTERCONTINENTAL HOTELS GROUP;AU;13;13;undirected
INTERTEK  GROUP;AU;10;10;undirected
ITV;AU;9;9;undirected
JOHNSON MATTHEY;AU;2;2;undirected
LLOYDS BANKING GROUP;AU;38;38;undirected
MEGGITT;AU;3;3;undirected
NATIONAL GRID;AU;1;1;undirected
OLD MUTUAL;AU;1;1;undirected
PEARSON;AU;15;15;undirected
PRUDENTIAL;AU;4;4;undirected
RANDGOLD RESOURCES;AU;4;4;undirected
RECKITT BENCKISER GROUP;AU;4;4;undirected
REED ELSEVIER GROUP;AU;20;20;undirected
REXAM;AU;4;4;undirected
RIO TINTO;AU;41;41;undirected
ROLLS-ROYCE GROUP;AU;5;5;undirected
ROYAL DUTCH SHELL;AU;36;36;undirected
SABMILLER;AU;5;5;undirected
SCHRODERS;AU;2;2;undirected
SERCO GROUP;AU;10;10;undirected
SHIRE;AU;1;1;undirected
SMITH & NEPHEW;AU;1;1;undirected
SMITHS GROUP;AU;8;8;undirected
STANDARD CHARTERED;AU;3;3;undirected
TATE & LYLE;AU;2;2;undirected
THE ROYAL BANK OF SCOTLAND GROUP;AU;50;50;undirected
THE SAGE GROUP;AU;7;7;undirected
THE WEIR GROUP;AU;15;15;undirected
TULLOW OIL;AU;9;9;undirected
UNILEVER;AU;11;11;undirected
UNITED UTILITIES GROUP;AU;1;1;undirected
VEDANTA RESOURCES;AU;9;9;undirected
VODAFONE GROUP;AU;9;9;undirected
WPP;AU;89;89;undirected
XSTRATA;AU;178;178;undirected
AGGREKO;AU;1;1;undirected
AMEC ;AU;46;46;undirected
ANGLO AMERICAN;AU;66;66;undirected
ANTOFAGASTA;AU;4;4;undirected
ASSOCIATED BRITISH FOODS ;AU;48;48;undirected
ASTRAZENECA;AU;5;5;undirected
AVIVA;ZA;1;1;undirected
BABCOCK INTERNATIONAL GROUP ;ZA;10;10;undirected
BAE SYSTEMS;ZA;2;2;undirected
BARCLAYS;ZA;109;109;undirected
BHP BILLITON;ZA;44;44;undirected
BP;ZA;8;8;undirected
BRITISH AMERICAN TOBACCO;ZA;35;35;undirected
BT GROUP;ZA;2;2;undirected
CAPITAL SHOPPING CENTRES GROUP;ZA;1;1;undirected
CENTRICA;ZA;1;1;undirected
COMPASS GROUP;ZA;11;11;undirected
CRODA INTERNATIONAL;ZA;1;1;undirected
DIAGEO;ZA;7;7;undirected
EURASIAN NATURAL RESOURCES CORPORATION;ZA;19;19;undirected
EVRAZ PLC;ZA;1;1;undirected
G4S;ZA;19;19;undirected
GKN;ZA;2;2;undirected
GLAXOSMITHKLINE;ZA;6;6;undirected
GLENCORE INTERNATIONAL;ZA;3;3;undirected
HSBC;ZA;2;2;undirected
ICAP;ZA;9;9;undirected
IMI;ZA;5;5;undirected
