Entreprise;Code;Valeur
OLD MUTUAL;LU;6
PEARSON;LU;8
PRUDENTIAL;LU;25
RECKITT BENCKISER GROUP;LU;13
RESOLUTION;LU;1
REXAM;LU;1
RIO TINTO;LU;1
ROYAL DUTCH SHELL;LU;4
RSA INSURANCE GROUP;LU;1
SCHRODERS;LU;4
SERCO GROUP;LU;2
SEVERN TRENT;LU;9
SHIRE;LU;5
SMITH & NEPHEW;LU;1
SMITHS GROUP;LU;5
STANDARD CHARTERED;LU;1
STANDARD LIFE;LU;1
TATE & LYLE;LU;1
TESCO;LU;5
THE BRITISH LAND COMPANY;LU;12
THE ROYAL BANK OF SCOTLAND GROUP;LU;15
VODAFONE GROUP;LU;14
WOLSELEY;LU;3
WPP;LU;33
XSTRATA;LU;1
ABERDEEN ASSET MANAGEMENT;SG;1
AGGREKO;SG;1
AMEC ;SG;5
ARM HOLDINGS;SG;1
ASHMORE GROUP PLC;SG;1
ASSOCIATED BRITISH FOODS ;SG;1
ASTRAZENECA;SG;1
AVIVA;SG;8
BAE SYSTEMS;SG;3
BARCLAYS;SG;6
BG GROUP;SG;5
BHP BILLITON;SG;5
BP;SG;9
BRITISH AMERICAN TOBACCO;SG;7
BT GROUP;SG;13
CAPITA GROUP;SG;1
COMPASS GROUP;SG;3
CRODA INTERNATIONAL;SG;1
DIAGEO;SG;6
G4S;SG;6
GKN;SG;1
GLAXOSMITHKLINE;SG;7
GLENCORE INTERNATIONAL;SG;2
HSBC;SG;10
ICAP;SG;11
IMI;SG;4
IMPERIAL TOBACCO GROUP ;SG;4
INTERCONTINENTAL HOTELS GROUP;SG;4
INTERTEK  GROUP;SG;2
LLOYDS BANKING GROUP;SG;2
MARKS AND SPENCER GROUP;SG;1
MEGGITT;SG;3
OLD MUTUAL;SG;2
PEARSON;SG;7
PETROFAC INC.;SG;3
PRUDENTIAL;SG;22
RECKITT BENCKISER GROUP;SG;3
REED ELSEVIER GROUP;SG;8
RIO TINTO;SG;20
ROLLS-ROYCE GROUP;SG;8
ROYAL DUTCH SHELL;SG;18
RSA INSURANCE GROUP;SG;1
SCHRODERS;SG;5
SERCO GROUP;SG;1
SHIRE;SG;1
SMITH & NEPHEW;SG;1
SMITHS GROUP;SG;2
STANDARD CHARTERED;SG;25
STANDARD LIFE;SG;1
TATE & LYLE;SG;3
THE ROYAL BANK OF SCOTLAND GROUP;SG;4
THE SAGE GROUP;SG;4
THE WEIR GROUP;SG;2
UNILEVER;SG;3
VODAFONE GROUP;SG;5
WHITBREAD;SG;1
WPP;SG;42
XSTRATA;SG;3
AGGREKO;KY;1
AMEC ;KY;3
ASTRAZENECA;KY;1
BARCLAYS;KY;123
BG GROUP;KY;4
BHP BILLITON;KY;5
BP;KY;8
BRITISH AMERICAN TOBACCO;KY;1
BT GROUP;KY;2
CAPITAL SHOPPING CENTRES GROUP;KY;1
COMPASS GROUP;KY;1
DIAGEO;KY;1
G4S;KY;2
GLAXOSMITHKLINE;KY;1
HSBC;KY;24
ICAP;KY;1
ITV;KY;3
J SAINSBURY;KY;3
LLOYDS BANKING GROUP;KY;20
NATIONAL GRID;KY;6
OLD MUTUAL;KY;1
PEARSON;KY;2
PRUDENTIAL;KY;11
RECKITT BENCKISER GROUP;KY;1
RIO TINTO;KY;1
ROLLS-ROYCE GROUP;KY;1
ROYAL DUTCH SHELL;KY;8
SABMILLER;KY;2
SCHRODERS;KY;7
SHIRE;KY;2
SMITH & NEPHEW;KY;1
SMITHS GROUP;KY;1
STANDARD CHARTERED;KY;16
TESCO;KY;14
THE ROYAL BANK OF SCOTLAND GROUP;KY;37
THE WEIR GROUP;KY;3
VODAFONE GROUP;KY;1
XSTRATA;KY;3
ANGLO AMERICAN;CH;2
ASSOCIATED BRITISH FOODS ;CH;1
ASTRAZENECA;CH;1
BAE SYSTEMS;CH;2
BARCLAYS;CH;3
BHP BILLITON;CH;2
BRITISH AMERICAN TOBACCO;CH;14
BT GROUP;CH;6
BUNZL;CH;6
CAPITA GROUP;CH;1
CARNIVAL;CH;2
COMPASS GROUP;CH;5
CRH;CH;6
DIAGEO;CH;1
EURASIAN NATURAL RESOURCES CORPORATION;CH;3
EVRAZ PLC;CH;1
GLAXOSMITHKLINE;CH;4
GLENCORE INTERNATIONAL;CH;4
HSBC;CH;13
ICAP;CH;2
IMI;CH;9
IMPERIAL TOBACCO GROUP ;CH;4
INTERTEK  GROUP;CH;3
JOHNSON MATTHEY;CH;1
LLOYDS BANKING GROUP;CH;2
MARKS AND SPENCER GROUP;CH;2
MEGGITT;CH;2
OLD MUTUAL;CH;3
